Designator,Mid X,Mid Y,Rotation,Layer
A1,22.352,-42.545,0.0,bottom
D1,25.532,-34.417,0.0,top
D2,19.817,-34.671,0.0,top
J1,22.123,-17.628,270.0,top
J2,22.225,-59.69,90.0,top
J3,22.205,-57.175,90.0,top
R1,20.32,-41.91,90.0,top
R2,24.13,-41.91,90.0,top
SW1,26.162,-27.305,270.0,top
SW2,19.812,-27.305,270.0,top
U1,22.352,-47.625,180.0,top
