"1746.03662109375,187.2161407470703","1752.2413330078125,152.49305725097656","1747.5518798828125,113.82914733886719","1761.1302490234375,68.52108764648438"
"1734.190673828125,186.51644897460938","1740.06201171875,151.54043579101562","1735.068603515625,113.20364379882812","1748.92822265625,67.53871154785156"
"1721.701171875,185.75457763671875","1728.326904296875,150.83755493164062","1722.6551513671875,112.52880096435547","1736.6466064453125,66.57737731933594"
"1708.81103515625,184.527587890625","1715.5738525390625,149.8352813720703","1709.965576171875,111.78015899658203","1724.1710205078125,65.59416961669922"
"1696.876220703125,183.212890625","1703.8682861328125,148.60850524902344","1698.83056640625,110.1590576171875","1712.3388671875,64.29335021972656"
"1684.865234375,182.2176971435547","1692.246337890625,147.79283142089844","1686.8389892578125,109.36136627197266","1701.2325439453125,63.30061340332031"
"1673.3135986328125,181.1993865966797","1680.699462890625,146.79603576660156","1675.7757568359375,108.44691467285156","1689.569580078125,62.23202896118164"
"1661.9107666015625,180.53912353515625","1669.0279541015625,146.19541931152344","1663.8345947265625,108.104736328125","1677.38623046875,61.945709228515625"
"1650.322998046875,180.02017211914062","1657.76318359375,145.78721618652344","1652.968994140625,107.45690155029297","1666.095947265625,61.30105972290039"
"1639.08935546875,179.50343322753906","1646.5958251953125,145.0880584716797","1641.2127685546875,106.87953186035156","1654.8994140625,60.629859924316406"
"1627.6119384765625,178.1756134033203","1635.3746337890625,143.79212951660156","1629.8218994140625,105.70923614501953","1643.4014892578125,59.11613082885742"
"1616.122802734375,177.0601043701172","1624.2880859375,142.59161376953125","1618.2978515625,104.40839385986328","1631.931396484375,58.108150482177734"
"1604.1658935546875,175.9791717529297","1612.5701904296875,141.74452209472656","1606.81982421875,103.4563217163086","1620.6151123046875,57.06565475463867"
"1592.7099609375,175.88499450683594","1601.14404296875,141.3018341064453","1595.0167236328125,103.8192138671875","1608.841552734375,56.982879638671875"
"1582.7764892578125,175.79055786132812","1591.0203857421875,141.31246948242188","1584.908935546875,104.237060546875","1598.084716796875,56.931915283203125"
"1575.240478515625,177.02304077148438","1582.7880859375,142.3793182373047","1575.797607421875,105.78337097167969","1588.81689453125,58.24161911010742"
"1567.97509765625,180.72666931152344","1575.1890869140625,145.69583129882812","1568.17919921875,111.16261291503906","1579.0228271484375,61.8031005859375"
"1563.929931640625,185.41415405273438","1569.8505859375,149.8462371826172","1562.068603515625,115.38057708740234","1571.316650390625,66.37444305419922"
"1560.680419921875,190.41786193847656","1565.3070068359375,154.24012756347656","1555.612060546875,121.86931610107422","1564.24462890625,71.25071716308594"
"1555.599365234375,195.0681915283203","1559.28857421875,158.32168579101562","1547.8948974609375,128.175537109375","1555.845458984375,76.07710266113281"
"1548.8302001953125,199.31356811523438","1551.7314453125,162.54766845703125","1546.904541015625,135.86061096191406","1546.958251953125,80.73857879638672"
"1540.41796875,203.02195739746094","1542.812255859375,166.1666259765625","1537.9681396484375,139.29502868652344","1537.1878662109375,84.65101623535156"
"1530.918212890625,206.0345001220703","1532.5933837890625,169.1289825439453","1525.2015380859375,141.32443237304688","1526.4066162109375,87.61898803710938"
"1519.99365234375,208.25453186035156","1522.17236328125,171.23367309570312","1513.9793701171875,143.82339477539062","1514.8004150390625,89.88970947265625"
"1508.7205810546875,210.03244018554688","1510.7430419921875,173.04425048828125","1503.0535888671875,145.947509765625","1503.8533935546875,91.63810729980469"
"1498.2318115234375,211.4082794189453","1499.516357421875,174.58221435546875","1491.8294677734375,147.4134521484375","1492.8017578125,93.03659057617188"
"1486.7369384765625,212.71961975097656","1488.9119873046875,175.52049255371094","1482.9530029296875,149.5557403564453","1480.9613037109375,94.55123138427734"
"1475.3453369140625,213.884765625","1477.3658447265625,176.79910278320312","1472.134765625,151.5297393798828","1469.552001953125,95.7735595703125"
"1463.87548828125,215.3078155517578","1465.8675537109375,178.0489044189453","1460.19140625,153.10116577148438","1457.2698974609375,97.19395446777344"
"1451.897705078125,216.8563232421875","1454.13232421875,179.58970642089844","1449.281494140625,155.12034606933594","1445.5521240234375,98.75823211669922"
"1440.0986328125,218.3026123046875","1442.1746826171875,181.25466918945312","1437.051025390625,156.908935546875","1433.34423828125,100.22042846679688"
"1428.198486328125,220.34425354003906","1430.6468505859375,183.1156463623047","1425.9766845703125,158.4085693359375","1421.9969482421875,102.1710433959961"
"1416.39697265625,221.9343719482422","1418.885986328125,184.691162109375","1417.95458984375,161.05404663085938","1410.2232666015625,103.7304916381836"
"1404.7127685546875,222.94869995117188","1407.371337890625,185.70489501953125","1404.685302734375,162.25950622558594","1398.279052734375,105.0015640258789"
"1392.7259521484375,223.98580932617188","1395.478271484375,186.5420379638672","1392.7685546875,163.2340850830078","1386.7318115234375,105.71894073486328"
"1381.093994140625,224.49082946777344","1383.8861083984375,187.05780029296875","1381.6859130859375,163.8103790283203","1375.4327392578125,106.15023040771484"
"1368.9073486328125,225.2359161376953","1372.1051025390625,187.94183349609375","1370.860107421875,165.2272186279297","1363.68359375,106.97223663330078"
"1357.1175537109375,226.0306396484375","1360.8419189453125,188.59262084960938","1360.2088623046875,166.33433532714844","1352.46826171875,107.73177337646484"
"1345.3265380859375,227.06280517578125","1349.4034423828125,189.68545532226562","1348.8785400390625,167.6938018798828","1340.741455078125,108.71630096435547"
"1333.8531494140625,228.26185607910156","1338.08544921875,190.77340698242188","1340.8736572265625,169.9700164794922","1329.327392578125,110.12474060058594"
"1322.6656494140625,229.54986572265625","1326.850341796875,192.0175018310547","1328.695068359375,170.36712646484375","1317.4232177734375,111.17483520507812"
