"1847.510498046875,222.05580139160156","1833.90185546875,193.99911499023438","1819.45654296875,159.59095764160156","1863.141845703125,260.09942626953125"
"1837.28125,225.3267822265625","1824.3623046875,196.77044677734375","1810.1641845703125,162.0240020751953","1852.885986328125,263.11431884765625"
"1827.434326171875,227.48419189453125","1814.6494140625,198.8872833251953","1801.079345703125,163.57708740234375","1842.6590576171875,265.48419189453125"
"1817.0535888671875,229.20150756835938","1805.40234375,200.3668670654297","1791.767822265625,164.82760620117188","1831.2772216796875,267.2210998535156"
"1807.08447265625,230.55682373046875","1795.443115234375,201.36766052246094","1782.520751953125,165.29098510742188","1820.320556640625,268.7479248046875"
"1797.2381591796875,231.82662963867188","1785.9346923828125,202.1202392578125","1774.04052734375,165.6287841796875","1809.7962646484375,269.8495788574219"
"1787.4549560546875,232.7928009033203","1776.77099609375,202.9352569580078","1765.5758056640625,166.01573181152344","1799.0771484375,270.5859375"
"1777.742431640625,233.54676818847656","1767.5526123046875,203.4891815185547","1756.301025390625,166.03956604003906","1788.2791748046875,271.5978698730469"
"1767.9942626953125,234.7759246826172","1758.2542724609375,204.62071228027344","1747.762451171875,166.7216339111328","1777.9619140625,272.7448425292969"
"1758.3104248046875,236.00936889648438","1749.243896484375,205.52285766601562","1738.4925537109375,167.05245971679688","1767.89208984375,273.86749267578125"
"1748.86669921875,236.7911834716797","1739.6712646484375,206.0763702392578","1729.74365234375,167.35848999023438","1757.3819580078125,274.4892272949219"
"1738.972900390625,237.23753356933594","1730.3656005859375,206.4140167236328","1720.51953125,167.34100341796875","1746.5721435546875,275.0330810546875"
"1728.9332275390625,237.8462371826172","1720.750244140625,206.6576690673828","1711.513671875,167.10658264160156","1735.81201171875,275.2556457519531"
"1719.097900390625,237.84361267089844","1711.47705078125,206.66111755371094","1702.7718505859375,166.67764282226562","1725.35400390625,275.2563171386719"
"1709.272216796875,237.57872009277344","1702.5064697265625,206.34364318847656","1694.252197265625,166.2830352783203","1715.2401123046875,275.3266296386719"
"1699.2628173828125,237.00363159179688","1693.035888671875,205.6329803466797","1685.46533203125,165.0570526123047","1704.747802734375,274.63397216796875"
"1689.2979736328125,236.2678985595703","1683.67529296875,204.67416381835938","1676.9393310546875,163.7904052734375","1693.9471435546875,273.714111328125"
"1679.8154296875,235.56617736816406","1674.5880126953125,203.92250061035156","1668.260498046875,162.6030731201172","1683.40283203125,272.8763122558594"
"1670.0631103515625,234.5594482421875","1665.4251708984375,202.91880798339844","1659.150634765625,160.94656372070312","1673.2479248046875,271.77313232421875"
"1659.72314453125,233.58961486816406","1655.9267578125,201.68038940429688","1650.4405517578125,159.74017333984375","1662.884765625,270.8846130371094"
"1649.843994140625,232.6201171875","1646.5966796875,200.6988525390625","1641.3194580078125,157.8814697265625","1651.7166748046875,269.73675537109375"
"1640.07958984375,231.3146209716797","1637.0159912109375,199.246826171875","1632.6778564453125,156.310791015625","1640.9114990234375,268.139404296875"
"1630.0882568359375,229.6802978515625","1627.8006591796875,197.6791534423828","1624.164306640625,154.3137664794922","1630.7777099609375,266.4263916015625"
"1620.2156982421875,227.6592254638672","1618.099853515625,195.59902954101562","1615.3511962890625,152.0431671142578","1620.1319580078125,264.2293395996094"
"1610.640869140625,225.66067504882812","1609.0853271484375,193.25497436523438","1606.68408203125,149.604248046875","1610.13330078125,262.1452941894531"
"1600.7840576171875,223.91183471679688","1599.8359375,191.58120727539062","1597.9552001953125,147.6083221435547","1599.3348388671875,260.14398193359375"
"1590.710693359375,222.67807006835938","1590.07373046875,190.44024658203125","1588.8033447265625,146.3560028076172","1588.927490234375,258.8385009765625"
"1579.962646484375,222.07952880859375","1579.675537109375,189.76593017578125","1578.525146484375,145.36195373535156","1578.2667236328125,257.9949951171875"
"1569.8330078125,221.60231018066406","1569.3265380859375,189.6773681640625","1567.9766845703125,144.91207885742188","1568.0401611328125,257.680908203125"
"1559.1773681640625,221.88668823242188","1558.7088623046875,189.56930541992188","1557.71484375,144.91543579101562","1557.40087890625,257.66851806640625"
"1548.156494140625,221.86953735351562","1547.9239501953125,189.63385009765625","1547.1622314453125,144.92161560058594","1546.454833984375,257.73779296875"
"1537.8162841796875,221.88296508789062","1537.787353515625,189.71803283691406","1536.150390625,145.13436889648438","1535.746337890625,257.8199462890625"
"1526.928466796875,222.24493408203125","1526.6304931640625,189.92869567871094","1525.008544921875,145.20643615722656","1524.923583984375,257.95513916015625"
"1515.794189453125,222.6566925048828","1515.2216796875,190.4141082763672","1513.485107421875,145.70846557617188","1513.778076171875,258.4361572265625"
"1504.423583984375,222.97781372070312","1503.884521484375,190.7793426513672","1502.1268310546875,145.9345245361328","1502.388671875,258.7518310546875"
"1493.8570556640625,223.2943878173828","1493.39013671875,190.9316864013672","1491.0760498046875,146.12799072265625","1491.1221923828125,258.9510498046875"
"1482.5067138671875,223.5260467529297","1482.407958984375,191.1341552734375","1480.0531005859375,146.31857299804688","1479.644775390625,259.1730651855469"
"1471.6566162109375,223.84791564941406","1471.111083984375,191.69564819335938","1468.699462890625,146.9310760498047","1468.2451171875,259.55462646484375"
"1460.3519287109375,224.2201385498047","1459.8304443359375,191.8771209716797","1457.451904296875,147.0865936279297","1456.9827880859375,259.83477783203125"
"1449.056396484375,224.76268005371094","1448.7435302734375,192.2838592529297","1446.4754638671875,147.62905883789062","1445.1802978515625,260.4522705078125"
"1437.8662109375,224.76214599609375","1437.33447265625,192.41526794433594","1434.925048828125,147.67181396484375","1433.7020263671875,260.45635986328125"
"1427.1571044921875,224.76260375976562","1426.806884765625,192.54232788085938","1424.039306640625,147.7360076904297","1422.416259765625,260.4574279785156"
"1416.450439453125,224.67112731933594","1416.0379638671875,192.4695281982422","1412.8876953125,147.47476196289062","1411.1617431640625,260.3734130859375"
"1405.1607666015625,224.5162353515625","1403.8988037109375,192.17498779296875","1401.526611328125,147.20278930664062","1399.282958984375,260.25531005859375"
"1393.27783203125,224.32388305664062","1392.8935546875,191.99462890625","1389.791015625,147.1796417236328","1387.53125,260.13604736328125"
"1382.366455078125,224.2076873779297","1382.086669921875,191.95965576171875","1378.79541015625,146.97142028808594","1376.497314453125,260.00445556640625"
"1371.7940673828125,224.04481506347656","1370.965576171875,191.72579956054688","1367.5859375,146.83128356933594","1365.6455078125,259.8218994140625"
