"137.85769653320312,880.4779663085938","135.85621643066406,914.789306640625","146.60597229003906,843.5123901367188","134.6632843017578,955.7774658203125"
"148.75750732421875,881.0852661132812","146.6869354248047,915.2196044921875","157.81944274902344,844.1690063476562","145.4950714111328,956.387939453125"
"159.17343139648438,881.728271484375","157.46771240234375,915.7587890625","168.60952758789062,844.7310180664062","156.6638946533203,957.0343017578125"
"169.61325073242188,882.435791015625","168.26026916503906,916.5474243164062","179.0965118408203,845.4483032226562","167.19036865234375,957.8623657226562"
"180.37771606445312,883.1729736328125","178.5130615234375,917.0792846679688","190.23904418945312,846.1561889648438","177.54852294921875,958.3882446289062"
"190.7379150390625,883.9386596679688","188.74578857421875,917.8387451171875","200.3408660888672,846.94482421875","188.00901794433594,959.1067504882812"
"201.4792938232422,884.3946533203125","199.9169464111328,918.0487060546875","211.36825561523438,847.7210693359375","199.2190704345703,959.5599975585938"
"211.64730834960938,885.0374755859375","210.6466522216797,919.0592651367188","221.75155639648438,848.1747436523438","210.14735412597656,960.2301635742188"
"222.81192016601562,885.9241943359375","221.47219848632812,919.8176879882812","233.0265350341797,849.1777954101562","220.88455200195312,961.2234497070312"
"233.36676025390625,886.9385986328125","231.47979736328125,920.930908203125","243.66632080078125,850.4735107421875","231.43252563476562,962.5398559570312"
"244.4658966064453,888.1619262695312","242.2152557373047,922.2933349609375","255.1157989501953,851.773193359375","242.2321014404297,963.8160400390625"
"255.24600219726562,889.4242553710938","253.8746337890625,923.2998046875","266.4579772949219,853.0177001953125","253.06192016601562,964.9959716796875"
"266.4474792480469,890.4183349609375","265.0161437988281,924.3069458007812","277.45440673828125,854.0131225585938","264.4076843261719,965.9968872070312"
"277.7220153808594,891.1629028320312","276.6011962890625,924.8726196289062","288.8358154296875,854.8116455078125","275.6026611328125,966.7761840820312"
"288.40496826171875,891.9888916015625","286.75341796875,925.7069091796875","299.45623779296875,855.5530395507812","286.9715270996094,967.33935546875"
"299.37579345703125,892.6499633789062","297.69415283203125,926.3031005859375","310.8250427246094,856.0327758789062","298.19305419921875,967.8809204101562"
"310.1518859863281,893.2053833007812","308.955322265625,926.8502807617188","321.4070129394531,856.8341674804688","308.82745361328125,968.6343994140625"
"320.7818298339844,893.9982299804688","320.7662048339844,927.3519287109375","332.3273620605469,857.5613403320312","320.2881774902344,969.1119384765625"
"331.53680419921875,894.5667114257812","330.290283203125,928.0343017578125","342.9631042480469,858.0686645507812","331.0643310546875,969.8356323242188"
"341.1857604980469,894.1891479492188","340.52606201171875,927.4308471679688","352.2914123535156,857.652587890625","341.25445556640625,969.3219604492188"
"349.34112548828125,892.583251953125","349.28179931640625,925.858642578125","360.1046142578125,855.9129028320312","350.9029235839844,967.5651245117188"
"356.59454345703125,890.3018188476562","357.1939392089844,923.4583740234375","367.10919189453125,853.254150390625","359.7536315917969,965.2536010742188"
"364.050537109375,888.2693481445312","367.0341796875,920.6729736328125","373.8661804199219,850.9172973632812","368.76531982421875,962.9608764648438"
"372.7689514160156,886.1221313476562","375.4189453125,918.8515625","382.197021484375,848.7144165039062","378.2105407714844,960.7322387695312"
"382.28558349609375,884.3489990234375","385.13671875,917.1053466796875","391.4676208496094,846.9452514648438","387.9930725097656,958.9617919921875"
"392.53680419921875,883.02294921875","395.80682373046875,915.2769165039062","401.4822082519531,845.7567749023438","398.248046875,957.7203369140625"
"402.4835510253906,882.3941650390625","406.1642761230469,914.708251953125","411.701171875,845.00634765625","408.705322265625,957.0911254882812"
"412.85931396484375,882.2839965820312","416.4759216308594,914.4815063476562","422.0235290527344,844.9022827148438","419.14031982421875,956.88671875"
"423.28179931640625,882.6817016601562","426.9208984375,914.9539184570312","432.5305480957031,845.2138671875","429.7272644042969,957.31884765625"
"433.8241271972656,883.4649658203125","437.4937438964844,915.7402954101562","443.2298583984375,846.0118408203125","440.311279296875,958.1498413085938"
"444.672119140625,884.267333984375","448.2344665527344,916.1890258789062","454.39434814453125,846.7944946289062","450.90179443359375,959.0240478515625"
"455.3540954589844,884.8569946289062","459.152099609375,916.9767456054688","465.3446350097656,847.3665771484375","461.6251525878906,959.530517578125"
"465.8222961425781,885.1385498046875","469.5284118652344,917.1393432617188","476.0256652832031,847.76611328125","471.71533203125,960.0068359375"
"476.2252502441406,885.4117431640625","480.09771728515625,917.3987426757812","486.7192077636719,847.9818725585938","482.3609924316406,960.1976928710938"
"486.7784423828125,885.6821899414062","490.83953857421875,917.4710083007812","498.00201416015625,848.3578491210938","492.82293701171875,960.4688110351562"
"496.85382080078125,886.05224609375","500.92657470703125,917.95458984375","508.0628356933594,848.7789306640625","503.08477783203125,960.9339599609375"
"508.0556335449219,886.1317749023438","511.98431396484375,918.072998046875","519.2246704101562,848.7813110351562","514.3002319335938,960.9691162109375"
"519.1773071289062,886.15576171875","523.308837890625,918.0474853515625","530.5974731445312,848.9585571289062","525.4224243164062,961.0322875976562"
"530.1228637695312,886.4346313476562","534.2388305664062,918.3082885742188","541.7332153320312,849.1605834960938","536.578369140625,961.28173828125"
"541.424560546875,886.7583618164062","545.124267578125,918.5944213867188","553.0833129882812,849.412353515625","547.7674560546875,961.61181640625"
"552.2396850585938,886.9818725585938","556.811767578125,918.4984741210938","563.9295043945312,849.706787109375","558.7716064453125,961.924072265625"
"563.01611328125,887.4727783203125","567.4598999023438,918.97216796875","574.774658203125,850.00439453125","570.0032348632812,962.1734008789062"
"573.791015625,887.7378540039062","577.8002319335938,919.4467163085938","585.7477416992188,850.270751953125","580.8630981445312,962.6876220703125"
"584.4378662109375,887.8668823242188","588.7718505859375,919.4325561523438","596.51171875,850.36767578125","591.6992797851562,962.7885131835938"
"595.3568115234375,887.9628295898438","599.7010498046875,919.301025390625","607.3999633789062,850.4384155273438","602.4945068359375,962.9100952148438"
"606.1065063476562,887.9657592773438","610.68896484375,919.4038696289062","618.4564819335938,850.5534057617188","613.4791870117188,962.9244384765625"
"617.1491088867188,888.056884765625","621.400390625,919.5823974609375","629.5703125,850.6568603515625","624.5609130859375,963.1240234375"
"628.48779296875,888.465576171875","632.7156372070312,919.36279296875","640.972412109375,850.950439453125","635.321044921875,963.3800048828125"
"639.3566284179688,888.6279296875","643.2027587890625,919.6323852539062","652.0325927734375,851.2299194335938","645.9864501953125,963.6892700195312"
"649.8577270507812,888.6277465820312","653.345458984375,919.9908447265625","662.7975463867188,851.322265625","656.55615234375,963.7294921875"
"659.9852294921875,888.1488037109375","664.0928955078125,918.9251708984375","672.6697387695312,850.7090454101562","667.05419921875,963.1405639648438"
"667.9653930664062,886.4955444335938","672.8655395507812,917.1026611328125","680.7481079101562,848.5969848632812","676.7432861328125,961.0480346679688"
"674.7197875976562,883.9561767578125","680.2203979492188,914.4527587890625","686.6378173828125,845.6846313476562","685.3040161132812,957.9312133789062"
"680.39013671875,880.083251953125","687.4362182617188,910.0844116210938","691.3724975585938,841.4091796875","693.1126098632812,953.6726684570312"
"685.9890747070312,875.696044921875","693.1199340820312,906.4721069335938","695.8922729492188,836.6978149414062","701.11376953125,948.6754150390625"
"692.4489135742188,871.65625","700.2263793945312,902.6519165039062","701.322998046875,832.5824584960938","710.0111083984375,944.0176391601562"
"700.0966796875,869.57421875","708.35791015625,900.7097778320312","708.8911743164062,830.4346313476562","717.7833251953125,942.0116577148438"
"708.8577880859375,868.5728149414062","717.4279174804688,899.5497436523438","717.7616577148438,829.4996948242188","726.4657592773438,941.0703125"
"718.1319580078125,868.0665893554688","726.8870849609375,898.8558959960938","727.9212646484375,828.7424926757812","735.5424194335938,940.6404418945312"
"728.2357177734375,867.2377319335938","736.5502319335938,898.199951171875","738.042236328125,827.9832153320312","746.1029663085938,939.8399658203125"
"738.7437744140625,866.2481079101562","746.9168090820312,897.2777709960938","748.6890869140625,826.9835815429688","756.6069946289062,938.8548583984375"
"749.0965576171875,865.2203979492188","757.514892578125,896.3165893554688","758.9182739257812,825.9844360351562","767.3413696289062,937.7034301757812"
"759.8607788085938,864.4205932617188","768.2388916015625,895.6093139648438","769.6158447265625,825.0908203125","777.8516235351562,936.84912109375"
"770.32666015625,863.4291381835938","778.92333984375,894.6174926757812","780.3497924804688,824.1012573242188","788.136962890625,936.05859375"
"781.2833862304688,862.379150390625","789.6932983398438,893.6014404296875","791.5440063476562,823.0404052734375","799.6531372070312,934.9202270507812"
