"1717.912841796875,185.22799682617188","1721.6630859375,149.5677032470703","1723.01220703125,99.99968719482422","1706.9642333984375,215.02420043945312"
"1706.8067626953125,184.75347900390625","1710.132080078125,148.8106689453125","1711.26123046875,99.05687713623047","1695.5791015625,214.4463348388672"
"1696.0396728515625,183.7577667236328","1700.279296875,147.8270721435547","1700.7752685546875,98.34261322021484","1684.8072509765625,213.51416015625"
"1685.2130126953125,183.0410919189453","1689.857666015625,147.59585571289062","1689.9693603515625,97.36917114257812","1673.9254150390625,212.6089324951172"
"1674.116455078125,181.9977264404297","1678.4576416015625,146.80380249023438","1679.2137451171875,96.398193359375","1662.6644287109375,211.60800170898438"
"1663.6025390625,181.02621459960938","1668.25830078125,145.5813751220703","1668.3819580078125,95.06800842285156","1652.0399169921875,210.46832275390625"
"1652.8526611328125,179.80810546875","1657.48681640625,144.27113342285156","1657.8438720703125,94.02629852294922","1641.161376953125,209.38075256347656"
"1641.6275634765625,178.79881286621094","1645.1302490234375,143.2083282470703","1646.327880859375,92.78239440917969","1629.778076171875,208.34938049316406"
"1631.228271484375,177.52793884277344","1634.889404296875,141.99208068847656","1635.7611083984375,91.54926300048828","1618.822265625,207.09690856933594"
"1620.296630859375,176.5281219482422","1623.01513671875,140.95655822753906","1625.085205078125,90.48152923583984","1607.796630859375,206.00033569335938"
"1610.1761474609375,175.51861572265625","1613.03076171875,140.359375","1614.5980224609375,89.4918212890625","1597.360595703125,204.97727966308594"
"1600.3251953125,175.7670440673828","1602.8253173828125,140.36859130859375","1604.3692626953125,89.53305053710938","1587.7095947265625,205.1512908935547"
"1590.945068359375,176.72206115722656","1591.6885986328125,142.38409423828125","1594.2232666015625,90.67793273925781","1579.4488525390625,206.64498901367188"
"1582.9996337890625,178.81004333496094","1583.4354248046875,145.26234436035156","1584.5714111328125,93.27156066894531","1571.9774169921875,209.0247344970703"
"1575.164306640625,181.85140991210938","1574.09912109375,148.7783203125","1575.0185546875,96.43743133544922","1565.1683349609375,212.3166961669922"
"1567.2708740234375,184.24644470214844","1565.4715576171875,151.35740661621094","1565.688720703125,99.1297836303711","1557.6431884765625,215.0455322265625"
"1558.3868408203125,186.8226318359375","1555.8465576171875,154.38299560546875","1556.197998046875,101.66912841796875","1548.9462890625,217.53012084960938"
