"1639.1005859375,250.26622009277344","1647.9971923828125,217.99131774902344","1653.836669921875,187.47372436523438","1653.017822265625,139.19517517089844"
"1628.7166748046875,249.37449645996094","1637.5443115234375,217.19134521484375","1643.318359375,186.47543334960938","1641.589111328125,138.22323608398438"
"1616.8116455078125,248.55377197265625","1625.614501953125,216.45465087890625","1631.424560546875,185.80792236328125","1629.873779296875,137.5410614013672"
"1605.693603515625,247.25955200195312","1614.2408447265625,215.13351440429688","1620.413818359375,184.809326171875","1618.8465576171875,136.2255859375"
"1594.55712890625,246.23489379882812","1603.3863525390625,214.12620544433594","1609.2120361328125,183.5726318359375","1607.5384521484375,135.14453125"
"1583.338134765625,245.2462921142578","1592.3795166015625,213.13587951660156","1598.3037109375,182.87013244628906","1596.8485107421875,134.13148498535156"
"1572.5491943359375,244.79286193847656","1581.5860595703125,212.97021484375","1587.7244873046875,182.2817840576172","1585.8775634765625,133.7872314453125"
"1562.8892822265625,245.51791381835938","1571.74169921875,213.3591766357422","1577.2169189453125,183.2771453857422","1575.51416015625,134.5482635498047"
"1554.1124267578125,247.52325439453125","1562.719482421875,215.10067749023438","1567.1065673828125,185.3610076904297","1564.7967529296875,136.5477752685547"
"1546.363037109375,249.52252197265625","1554.2398681640625,216.81655883789062","1558.404052734375,187.10299682617188","1554.8292236328125,138.3826904296875"
"1538.5819091796875,250.97190856933594","1546.156005859375,218.097412109375","1549.4671630859375,189.11170959472656","1545.693115234375,139.82972717285156"
"1528.8167724609375,252.01931762695312","1536.613037109375,219.1885223388672","1538.8712158203125,190.46385192871094","1534.7020263671875,140.94363403320312"
"1518.0284423828125,252.61961364746094","1525.8426513671875,219.5267791748047","1528.0389404296875,190.90603637695312","1523.963623046875,141.29978942871094"
"1507.4796142578125,252.66928100585938","1515.62109375,219.75680541992188","1517.4388427734375,191.0482177734375","1513.2398681640625,141.60430908203125"
"1496.2318115234375,252.7236785888672","1504.336669921875,219.96652221679688","1506.7236328125,191.51138305664062","1502.0628662109375,141.78402709960938"
"1485.5565185546875,252.4921112060547","1493.9190673828125,219.51976013183594","1496.0616455078125,191.24896240234375","1491.429931640625,141.27699279785156"
"1474.277099609375,252.03256225585938","1483.10791015625,218.98805236816406","1485.1829833984375,190.91195678710938","1480.5845947265625,140.86444091796875"
"1463.546875,251.81044006347656","1471.8975830078125,218.76040649414062","1474.3277587890625,190.60671997070312","1469.55029296875,140.67625427246094"
"1452.125732421875,251.83839416503906","1461.143310546875,218.7854766845703","1462.73876953125,191.21737670898438","1458.22021484375,140.64657592773438"
"1440.9390869140625,251.8479461669922","1450.1712646484375,218.83743286132812","1451.2392578125,191.63731384277344","1446.8565673828125,140.68392944335938"
"1429.7110595703125,252.30995178222656","1438.901123046875,219.2704315185547","1440.101806640625,191.98431396484375","1435.26806640625,141.26251220703125"
"1418.7105712890625,252.75637817382812","1428.1414794921875,219.78346252441406","1429.12451171875,192.6833953857422","1423.998046875,141.6044921875"
"1407.3004150390625,252.9453125","1417.185302734375,219.89505004882812","1418.25,192.7339324951172","1412.6129150390625,141.900146484375"
"1396.621826171875,252.87506103515625","1406.19140625,219.78639221191406","1407.2645263671875,192.7351837158203","1401.630615234375,141.68785095214844"
"1385.3624267578125,252.80441284179688","1395.2127685546875,219.74159240722656","1396.0423583984375,192.95431518554688","1390.6361083984375,141.689453125"
"1373.947998046875,252.54251098632812","1384.1412353515625,219.57513427734375","1384.39892578125,192.9251251220703","1378.8385009765625,141.4473876953125"
